,id,first_name,web_name,team,team_code,now_cost,photo,total_points,value_season,minutes,ict_index_rank,element_type,bps,influence,creativity,threat,goals_scored,expected_goals,assists,expected_assists,form,selected_rank,chance_of_playing_next_round,chance_of_playing_this_round,position,team_name,average_points,average_minutes,avg_points_per_min,goals_scored_last_season,goals_conceded_last_season,assists_last_season,minutes_last_season,clean_sheets_last_season,total_points_last_season,ict_index_last_season,red_cards_last_season,yellow_cards_last_season,starts_last_season,saves_last_season,penalties_saved_last_season,penalties_missed_last_season,average_win_perc_first_10
0,1,Folarin,Balogun,1,3,45,232223.jpg,0,0.0,0,421,4,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,200,100,100.0,Attacker,Arsenal,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.6816146990264637
1,2,Cédric,Cédric,1,3,40,58822.jpg,0,0.0,0,243,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,254,100,,Defender,Arsenal,28.666666666666668,816.0,0.035130718954248366,0,3,0,223,0,10,11.9,0,0,2,0,0,0,0.6816146990264637
2,3,Mohamed,M.Elneny,1,3,45,153256.jpg,0,0.0,0,381,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,452,0,0.0,Midfielder,Arsenal,27.666666666666668,816.6666666666666,0.03387755102040817,0,2,0,111,0,6,1.1,0,0,1,0,0,0,0.6816146990264637
3,4,Fábio,Fábio Vieira,1,3,55,438098.jpg,0,0.0,0,638,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,417,100,,Midfielder,Arsenal,0,0,0,1,5,2,500,2,40,41.5,2,0,3,0,0,0,0.6816146990264637
4,5,Gabriel,Gabriel,1,3,50,226597.jpg,1,0.2,4,583,2,2,0.2,0.0,0.0,0,0.00,0,0.00,0.5,9,100,,Defender,Arsenal,123.33333333333333,2822.6666666666665,0.04369390647142182,3,43,0,3409,14,146,127.7,14,5,38,0,0,0,0.6816146990264637
5,6,Kai,Havertz,1,3,75,219847.jpg,2,0.3,90,68,3,11,9.4,30.3,15.0,0,0.05,0,0.24,1.0,85,100,,Midfielder,Arsenal,101.66666666666667,1959.6666666666667,0.051879571355672734,7,31,1,2565,9,102,202.5,9,5,30,0,0,0,0.6816146990264637
6,7,Rob,Holding,1,3,45,156074.jpg,0,0.0,0,382,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,342,100,,Defender,Arsenal,51.666666666666664,1319.6666666666667,0.03915130083354382,1,13,0,562,0,21,21.6,0,0,6,0,0,0,0.6816146990264637
7,8,Gabriel,G.Jesus,1,3,79,205651.jpg,0,0.0,0,664,4,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,141,0,0.0,Attacker,Arsenal,120.0,1997.0,0.06009013520280421,11,23,7,2064,9,125,241.9,9,6,24,0,0,0,0.6816146990264637
8,9,Jorge Luiz,Jorginho,1,3,55,85955.jpg,0,0.0,0,620,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,324,100,100.0,Midfielder,Arsenal,99.66666666666667,2134.6666666666665,0.0466895690193629,2,23,2,2127,9,79,76.1,9,4,24,0,0,0,0.6816146990264637
9,10,Jakub,Kiwior,1,3,45,440854.jpg,0,0.0,0,452,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,430,100,,Defender,Arsenal,0,0,0,1,6,0,425,2,26,13.9,2,0,5,0,0,0,0.6816146990264637
